基金代码,基金全称,基金简称,基金类型,发行日期,成立日期/规模,资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,最高申购费率,最高赎回费率,业绩比较基准,跟踪标的
000850,汇丰晋信双核策略混合型证券投资基金,汇丰晋信双核策略混合C,混合型-灵活,2014年10月27日,2014年11月26日 / 10.071亿份,2.64亿元,1.5224亿份,汇丰晋信基金,交通银行,韦钰,每份累计0.84元,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%,0.00%,1.50%,中证800指数*60%+中债新综合指数*40%,该基金无跟踪标的
001174,中欧瑾和灵活配置混合型证券投资基金,中欧瑾和灵活配置混合C,混合型-灵活,2015年04月09日,2015年04月13日 / 38.810亿份,4.74亿元,2.334亿份,中欧基金,工商银行,李帅,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,上证科创板50成份指数收益率*80%+银行活期存款利率(税后)*20%,该基金无跟踪标的
001301,大成睿景灵活配置混合型证券投资基金,大成睿景灵活配置混合C,混合型-灵活,2015年05月11日,2015年05月26日 / 42.355亿份,7.38亿元,2.8796亿份,大成基金,广发证券,韩创,每份累计0.00元,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*60%+中债综合指数收益率*40%,该基金无跟踪标的
001407,景顺长城稳健回报灵活配置混合型证券投资基金,景顺长城稳健回报混合C,混合型-灵活,2015年04月07日,2015年06月08日 / --,39.04亿元,9.7313亿份,景顺长城基金,邮储银行,江山,每份累计0.06元,0.60%（每年）,0.15%（每年）,0.20%（每年）,---,0.00%,1.50%,1年期银行定期存款利率(税后)+3%(单利年化),该基金无跟踪标的
001467,华富永鑫灵活配置混合型证券投资基金,华富永鑫灵活配置混合C,混合型-灵活,2015年06月08日,2015年06月15日 / 7.923亿份,1.07亿元,0.6249亿份,华富基金,工商银行,李孝华,每份累计0.00元,0.60%（每年）,0.15%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×50%+上证国债指数收益率×50%,该基金无跟踪标的
001557,天弘中证500指数增强型证券投资基金,天弘中证500指数增强C,指数型-股票,2015年06月29日,2015年06月30日 / 0.100亿份,10.01亿元,6.534亿份,天弘基金,招商证券,杨超,每份累计0.00元,0.60%（每年）,0.10%（每年）,0.30%（每年）,0.00%,0.00%,1.50%,中证500指数收益率*95%+银行活期存款税后利率*5%,中证500指数
001593,天弘创业板交易型开放式指数证券投资基金联接基金,天弘创业板ETF联接C,指数型-股票,2015年07月06日,2015年07月08日 / 0.100亿份,65.66亿元,51.2233亿份,天弘基金,国泰海通,林心龙、洪明华,每份累计0.00元,0.15%（每年）,0.05%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,创业板指数收益率*95%+银行活期存款利率(税后)*5%,创业板指数(价格)
001618,天弘中证电子交易型开放式指数证券投资基金联接基金,天弘中证电子ETF联接C,指数型-股票,2015年07月28日,2015年07月29日 / 0.100亿份,6.88亿元,3.3723亿份,天弘基金,国泰海通,洪明华,每份累计0.00元,0.50%（每年）,0.10%（每年）,0.20%（每年）,0.00%,0.00%,1.50%,中证电子指数收益率×95%+银行活期存款利率(税后)×5%,中证电子指数
001665,平安鑫安混合型证券投资基金,平安鑫安混合C,混合型-灵活,2015年11月11日,2015年12月11日 / 3.946亿份,0.24亿元,0.1281亿份,平安基金,中国银行,林清源,每份累计0.00元,0.60%（每年）,0.10%（每年）,0.40%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×40%+中证全债指数收益率×60%,该基金无跟踪标的
001770,前海开源嘉鑫灵活配置混合型证券投资基金,前海开源嘉鑫混合C,混合型-灵活,2016年12月19日,2016年12月26日 / 6.001亿份,14.02亿元,5.6945亿份,前海开源基金,浙商银行,吴国清,每份累计0.26元,0.60%（每年）,0.10%（每年）,0.10%（每年）,0.00%,0.00%,1.50%,沪深300指数收益率×70%+中证全债指数收益率×30%,该基金无跟踪标的
